protocol_id,market,host,method,setting,method_canonical_setting,frozen_declared_setting,status,blocker_class,blocker_code,blocker_reason,blocker_authority,blocker_inherited,blocker_reopened,mae,parent_mae,mae_matches_parent,mse,rmse,host_mae,relative_gain_vs_host_pct,tail_mae,tail_n_hours,tail_subset_status,upper_tail_mae,upper_tail_n_hours,upper_tail_subset_status,lower_tail_mae,lower_tail_n_hours,lower_tail_subset_status,normal_region_mae,normal_n_hours,normal_subset_status,negative_price_mae,negative_n_hours,negative_subset_status,extreme_day_mae,extreme_day_n_days,extreme_day_subset_status,upper_tail_day_mae,upper_tail_day_n_days,upper_tail_day_subset_status,normal_harm_vs_host_abs_price,normal_harm_vs_host_pct_of_host_normal_mae,host_normal_region_mae_abs_price,n_registered_test_days,n_scored_test_days,n_unscorable_missing_target_days,excluded_unscorable_day_ids,scoring_mask,paper_use_scope,data_adjudication,fidelity,metric_source,metric_definition_sha256,source_pointer,source_sha256,sidecar_pointer,sidecar_sha256
HCH_V44_BASELINE_COMPARISON_FREEZE_20260916,GANSU_DA,PatchTST,UEC-STD,BLOCKED,OFFLINE_STATIC_POSTHOC,OFFLINE_STATIC_POSTHOC,BLOCKED,Q-FIDELITY,UECSTD_TRANSFER_BLOCKED,1/1 bounded recovery pass consumed; the mandatory source-native Host MSE gate fails at 7.6062% > 7.5% and no concrete implementation defect remains,experiments/lab/strict_results/registry/BLOCKERS.csv,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,NONE_ALL_REGISTERED_DAYS_SCORABLE,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,NOT_APPLICABLE_BLOCKED,RECOMPUTED_FROM_FROZEN_TEST_ARRAYS_FLOAT64_VIA_FROZEN_panel_metrics.cell_metrics,9C846BC8538A57CCBB5CBCAF1DEADBDEA2809BDB87FA6FB1181E2E601C711C62,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/08_joint_test/baselines/GANSU_DA/PatchTST/UEC-STD.BLOCKED.json,EDEC6549EC98D34DB6AB9577A2717DA1CCD2C61BD036090ED504464E159AE067,,
HCH_V44_BASELINE_COMPARISON_FREEZE_20260916,GANSU_DA,PatchTST,OMPB,BLOCKED,ONLINE_SHIFT,ONLINE_SHIFT,BLOCKED,Q-DATA,OMPB_DATA_OR_FIDELITY_BLOCKED,1/1 bounded pass consumed; the official data/provenance bundle is unavailable (0/5 files acquired) and no data proxy is permitted,experiments/lab/strict_results/registry/BLOCKERS.csv,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,NONE_ALL_REGISTERED_DAYS_SCORABLE,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,NOT_APPLICABLE_BLOCKED,RECOMPUTED_FROM_FROZEN_TEST_ARRAYS_FLOAT64_VIA_FROZEN_panel_metrics.cell_metrics,9C846BC8538A57CCBB5CBCAF1DEADBDEA2809BDB87FA6FB1181E2E601C711C62,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/08_joint_test/baselines/GANSU_DA/PatchTST/OMPB.BLOCKED.json,12AEB023603CEF249F7742EB1CDE2EB611D624994FE73DC0A974280081E6456C,,
HCH_V44_BASELINE_COMPARISON_FREEZE_20260916,GANSU_DA,TimeMixer,UEC-STD,BLOCKED,OFFLINE_STATIC_POSTHOC,OFFLINE_STATIC_POSTHOC,BLOCKED,Q-FIDELITY,UECSTD_TRANSFER_BLOCKED,1/1 bounded recovery pass consumed; the mandatory source-native Host MSE gate fails at 7.6062% > 7.5% and no concrete implementation defect remains,experiments/lab/strict_results/registry/BLOCKERS.csv,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,NONE_ALL_REGISTERED_DAYS_SCORABLE,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,NOT_APPLICABLE_BLOCKED,RECOMPUTED_FROM_FROZEN_TEST_ARRAYS_FLOAT64_VIA_FROZEN_panel_metrics.cell_metrics,9C846BC8538A57CCBB5CBCAF1DEADBDEA2809BDB87FA6FB1181E2E601C711C62,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/08_joint_test/baselines/GANSU_DA/TimeMixer/UEC-STD.BLOCKED.json,A8CC7ABEF63E29C15477C6B791090A8F3C9005C3300ABF5CBB3F9602B924046D,,
HCH_V44_BASELINE_COMPARISON_FREEZE_20260916,GANSU_DA,TimeMixer,OMPB,BLOCKED,ONLINE_SHIFT,ONLINE_SHIFT,BLOCKED,Q-DATA,OMPB_DATA_OR_FIDELITY_BLOCKED,1/1 bounded pass consumed; the official data/provenance bundle is unavailable (0/5 files acquired) and no data proxy is permitted,experiments/lab/strict_results/registry/BLOCKERS.csv,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,NONE_ALL_REGISTERED_DAYS_SCORABLE,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,NOT_APPLICABLE_BLOCKED,RECOMPUTED_FROM_FROZEN_TEST_ARRAYS_FLOAT64_VIA_FROZEN_panel_metrics.cell_metrics,9C846BC8538A57CCBB5CBCAF1DEADBDEA2809BDB87FA6FB1181E2E601C711C62,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/08_joint_test/baselines/GANSU_DA/TimeMixer/OMPB.BLOCKED.json,FA98DB0D325A3A06DDB37F6F76808E961E790B61E06CB7B33D809F6B6EE0EE62,,
HCH_V44_BASELINE_COMPARISON_FREEZE_20260916,GANSU_DA,iTransformer,PIR,BLOCKED,OFFLINE_STATIC_POSTHOC,,BLOCKED,Q-INCOMPATIBLE,PIR_FROZEN_BACKBONE_CONFIG_ABSENT_FOR_NEW_HOST,"frozen pir_transfer.BACKBONE_CONFIG admits ['PatchTST', 'TimeMixer']; it has no entry for 'iTransformer'",experiments/lab/strict_results/registry/BLOCKERS.csv,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,NONE_ALL_REGISTERED_DAYS_SCORABLE,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,NOT_APPLICABLE_BLOCKED,RECOMPUTED_FROM_FROZEN_TEST_ARRAYS_FLOAT64_VIA_FROZEN_panel_metrics.cell_metrics,9C846BC8538A57CCBB5CBCAF1DEADBDEA2809BDB87FA6FB1181E2E601C711C62,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/08_joint_test/baselines/GANSU_DA/iTransformer/PIR.BLOCKED.json,46FC318E0D3707A9495FC1FB863A08541BD884FBC496D1306672F7CFEE672268,,
HCH_V44_BASELINE_COMPARISON_FREEZE_20260916,GANSU_DA,iTransformer,UEC-STD,BLOCKED,OFFLINE_STATIC_POSTHOC,OFFLINE_STATIC_POSTHOC,BLOCKED,Q-FIDELITY,UECSTD_TRANSFER_BLOCKED,1/1 bounded recovery pass consumed; the mandatory source-native Host MSE gate fails at 7.6062% > 7.5% and no concrete implementation defect remains,experiments/lab/strict_results/registry/BLOCKERS.csv,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,NONE_ALL_REGISTERED_DAYS_SCORABLE,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,NOT_APPLICABLE_BLOCKED,RECOMPUTED_FROM_FROZEN_TEST_ARRAYS_FLOAT64_VIA_FROZEN_panel_metrics.cell_metrics,9C846BC8538A57CCBB5CBCAF1DEADBDEA2809BDB87FA6FB1181E2E601C711C62,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/08_joint_test/baselines/GANSU_DA/iTransformer/UEC-STD.BLOCKED.json,C9489B94321A41471E9B34D395A5249311820B0915B486FD007FBA62EABF0BB5,,
HCH_V44_BASELINE_COMPARISON_FREEZE_20260916,GANSU_DA,iTransformer,OMPB,BLOCKED,ONLINE_SHIFT,ONLINE_SHIFT,BLOCKED,Q-DATA,OMPB_DATA_OR_FIDELITY_BLOCKED,1/1 bounded pass consumed; the official data/provenance bundle is unavailable (0/5 files acquired) and no data proxy is permitted,experiments/lab/strict_results/registry/BLOCKERS.csv,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,NONE_ALL_REGISTERED_DAYS_SCORABLE,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,NOT_APPLICABLE_BLOCKED,RECOMPUTED_FROM_FROZEN_TEST_ARRAYS_FLOAT64_VIA_FROZEN_panel_metrics.cell_metrics,9C846BC8538A57CCBB5CBCAF1DEADBDEA2809BDB87FA6FB1181E2E601C711C62,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/08_joint_test/baselines/GANSU_DA/iTransformer/OMPB.BLOCKED.json,2B79AEC99AD8874D5632B32A4C6DCFDFB54704842A89EBA518349004769F64C9,,
HCH_V44_BASELINE_COMPARISON_FREEZE_20260916,GANSU_DA,LSTM,PIR,BLOCKED,OFFLINE_STATIC_POSTHOC,,BLOCKED,Q-INCOMPATIBLE,PIR_FROZEN_BACKBONE_CONFIG_ABSENT_FOR_NEW_HOST,"frozen pir_transfer.BACKBONE_CONFIG admits ['PatchTST', 'TimeMixer']; it has no entry for 'LSTM'",experiments/lab/strict_results/registry/BLOCKERS.csv,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,NONE_ALL_REGISTERED_DAYS_SCORABLE,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,NOT_APPLICABLE_BLOCKED,RECOMPUTED_FROM_FROZEN_TEST_ARRAYS_FLOAT64_VIA_FROZEN_panel_metrics.cell_metrics,9C846BC8538A57CCBB5CBCAF1DEADBDEA2809BDB87FA6FB1181E2E601C711C62,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/08_joint_test/baselines/GANSU_DA/LSTM/PIR.BLOCKED.json,D08C4C6DCE7E16C6173B97F643BB6F943333AE662945EAD03E06C61A2AE584EC,,
HCH_V44_BASELINE_COMPARISON_FREEZE_20260916,GANSU_DA,LSTM,UEC-STD,BLOCKED,OFFLINE_STATIC_POSTHOC,OFFLINE_STATIC_POSTHOC,BLOCKED,Q-FIDELITY,UECSTD_TRANSFER_BLOCKED,1/1 bounded recovery pass consumed; the mandatory source-native Host MSE gate fails at 7.6062% > 7.5% and no concrete implementation defect remains,experiments/lab/strict_results/registry/BLOCKERS.csv,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,NONE_ALL_REGISTERED_DAYS_SCORABLE,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,NOT_APPLICABLE_BLOCKED,RECOMPUTED_FROM_FROZEN_TEST_ARRAYS_FLOAT64_VIA_FROZEN_panel_metrics.cell_metrics,9C846BC8538A57CCBB5CBCAF1DEADBDEA2809BDB87FA6FB1181E2E601C711C62,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/08_joint_test/baselines/GANSU_DA/LSTM/UEC-STD.BLOCKED.json,231D640839120B08B8A3787E32F81F317ABC85D02B3AE10706968CC959EA8A1A,,
HCH_V44_BASELINE_COMPARISON_FREEZE_20260916,GANSU_DA,LSTM,OMPB,BLOCKED,ONLINE_SHIFT,ONLINE_SHIFT,BLOCKED,Q-DATA,OMPB_DATA_OR_FIDELITY_BLOCKED,1/1 bounded pass consumed; the official data/provenance bundle is unavailable (0/5 files acquired) and no data proxy is permitted,experiments/lab/strict_results/registry/BLOCKERS.csv,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,NONE_ALL_REGISTERED_DAYS_SCORABLE,COMMON_BENCHMARK_TEST_WITH_HISTORICAL_EXPOSURE_CAVEAT,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,NOT_APPLICABLE_BLOCKED,RECOMPUTED_FROM_FROZEN_TEST_ARRAYS_FLOAT64_VIA_FROZEN_panel_metrics.cell_metrics,9C846BC8538A57CCBB5CBCAF1DEADBDEA2809BDB87FA6FB1181E2E601C711C62,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/08_joint_test/baselines/GANSU_DA/LSTM/OMPB.BLOCKED.json,8456F4D8A0EC4E5DE25BAA72F4C2C950C8AB076CFF77615E5981DFD26B7B6767,,
