title,authors,year,venue,id,local_pdf_or_url,fulltext_status,coordinate,quoted_mechanism,topic,counted
Reviving Error Correction in Modern Deep Time-Series Forecasting,"Minh Hoang Nguyen; Dai Do; Huu Hiep Nguyen; Dung Nguyen; Kien Do; Hung Le",2026,arXiv,2605.21088,D:/AI_Memory/papers/raw/2605.21088.pdf,fulltext_local_27pp,"p8: truth correction vector DeltaX decomposed into trend+seasonal","Universal Error Corrector with Seasonal-Trend Decomposition",structured_refinement,yes
PnP-Corrector,"Hao Wu; Fan Xu; et al.",2026,arXiv,2605.08935,D:/AI_Memory/papers/raw/2605.08935.pdf,fulltext_local_24pp,"p2: plug-and-play corrector for coupled systems","Universal plug-and-play correction for coupled spatiotemporal forecasting",structured_refinement,yes
Optimal Recalibration of an Online Predictor,"Lunjia Hu; Kevin Tian; Chutong Yang",2026,arXiv,2607.19689,D:/AI_Memory/papers/raw/2607.19689.pdf,fulltext_local_47pp,"Sec1 p2: loss l_sq(p,y)=(p-y)^2; (eps,eps^2)-recalibration T=Omega(eps^-3)","Recalibrates online predictor with small excess error",forecast_postprocessing,yes
Causality-Inspired Safe Residual Correction,"Xie; Hua; Cheng; Salim; Xue",2025,arXiv,2512.22428,D:/AI_Memory/papers/raw/2512.22428.pdf,fulltext_local_11pp,"Eq(9): Y_hat=Y_base+w1*delta_ridge+w2*delta_clip","Safe additive residual correction y=y_base+delta",risk_controlled_postprocessing,yes
delta-Adapter (The Forecast After the Forecast),"Liang et al.",2026,ICLR,2601.20280,D:/AI_Memory/papers/raw/2601.20280.pdf,fulltext_local_30pp,"Eq1.1 X_tilde=X+delta*A_in; Eq1.3 Y_tilde=F(X)+delta*A_out","Constrained output adapter with trust-region delta",structured_refinement,yes
Post-Training Corrections,"Cherkaoui; Tiomoko; Paolo et al.",2026,arXiv,2505.15354,D:/AI_Memory/papers/raw/2505.15354.pdf,fulltext_local_22pp,"p4: affine correction g_{a,b}(y)=ay+b; R0=E[(Z-Ytrue)^2]","Post-training affine correction framework",forecast_postprocessing,yes
Probabilistic Load Forecasting with Post-hoc UQ,"Al-Shareeda; Ozdemir; Jeon",2026,arXiv,2607.12730,D:/AI_Memory/papers/raw/2607.12730.pdf,fulltext_local_30pp,"Sec3: conditional quantiles per step h=1..H","Post-hoc residual-based uncertainty quantification",structured_refinement,no
Decoupled Probabilistic Forecasting and Post-processing,"Lifeng Hao; Shaolin Ji",2026,arXiv,2607.29220,D:/AI_Memory/papers/raw/2607.29220.pdf,fulltext_local_35pp,"Sec3: decoupled forecast + post-process","Decoupled probabilistic forecasting with post-processing",forecast_postprocessing,no
Residual-Guided Multi-Resolution Refinement,"Wentao Gao; Jiuyong Li; et al.",2026,arXiv,2607.17507,D:/AI_Memory/papers/raw/2607.17507.pdf,fulltext_local_23pp,"Sec3: residual-guided multi-resolution refinement","Residual-guided multi-resolution refinement for drought forecasting",structured_refinement,yes
Lightweight Wrappers for Adapting TSFM,"Wentao Gao; Jiuyong Li; et al.",2026,arXiv,2607.17511,D:/AI_Memory/papers/raw/2607.17511.pdf,fulltext_local_12pp,"Sec3: wrapper adaptation","Lightweight wrappers for TSFM adaptation",forecast_postprocessing,no
